function_id,function_name,primary_module,requirement_id,source_message_count,inputs,outputs,errors,approval,status,test_state
FUNC-001,capture_request,MOD-PROJECTS-KB,REQ-CANON-001,26723,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-002,ingest_source,MOD-MASTER-KB,REQ-CANON-002,15326,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-003,compile_requirements,MOD-PROJECTS-KB,REQ-CANON-003,10885,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-004,register_module,MOD-MODULE-RUNTIME,REQ-CANON-004,7568,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-005,register_feature,MOD-CORE-PLATFORM,REQ-CANON-005,9296,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-006,register_function,MOD-SOFTWARE-RUNTIME,REQ-CANON-006,18113,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-007,route_skill,MOD-AGENT-ORCHESTRATOR,REQ-CANON-007,2109,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-008,register_integration,MOD-INTEGRATIONS-FABRIC,REQ-CANON-008,17063,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-009,route_model,MOD-LLM-ROUTER,REQ-CANON-009,13571,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-010,orchestrate_agents,MOD-AGENT-ORCHESTRATOR,REQ-CANON-010,6215,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-011,run_workflow,MOD-WORKFLOW-RUNTIME,REQ-CANON-011,15731,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-012,deploy_staging,MOD-DEPLOYMENT,REQ-CANON-012,6669,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-013,create_pr,MOD-DEPLOYMENT,REQ-CANON-013,8518,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-014,govern_secrets,MOD-SECURITY-VAULT,REQ-CANON-014,19930,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-015,request_approval,MOD-AUTONOMY-GOVERNOR,REQ-CANON-015,15128,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
