requirement_id,requirement,category,primary_module,feature_id,function_id,user_request_message_count,assistant_response_message_count,source_proof,status,implementation_state,test_or_waiver,evidence_id,rollback,owner_acceptance
REQ-CANON-001,Preserve every relevant user request and applicable assistant response with immutable provenance and stable identifiers.,request_capture,MOD-PROJECTS-KB,FEAT-001,FUNC-001,8175,18548,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-001,remove V21 candidate row; preserve source ledgers,PENDING
REQ-CANON-002,"Inventory, hash, safely extract, index, reconcile, and preserve every accessible source without inventing missing metadata.",source_ingestion,MOD-MASTER-KB,FEAT-002,FUNC-002,2879,12447,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-002,remove V21 candidate row; preserve source ledgers,PENDING
REQ-CANON-003,"Map every extracted request to canonical requirements while retaining all source pointers, conflicts, supersession, and gaps.",requirements,MOD-PROJECTS-KB,FEAT-003,FUNC-003,2294,8591,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-003,remove V21 candidate row; preserve source ledgers,PENDING
REQ-CANON-004,"Register every module with owner, contracts, dependencies, state, tests, evidence, cost, security, and rollback.",modules,MOD-MODULE-RUNTIME,FEAT-004,FUNC-004,985,6583,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-004,remove V21 candidate row; preserve source ledgers,PENDING
REQ-CANON-005,"Register all requested features with target placement, acceptance criteria, implementation state, and proof path.",features,MOD-CORE-PLATFORM,FEAT-005,FUNC-005,1962,7334,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-005,remove V21 candidate row; preserve source ledgers,PENDING
REQ-CANON-006,"Register callable functions, handlers, routes, inputs, outputs, errors, tests, and runtime state.",functions,MOD-SOFTWARE-RUNTIME,FEAT-006,FUNC-006,2714,15399,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-006,remove V21 candidate row; preserve source ledgers,PENDING
REQ-CANON-007,"Map Skills to one primary owner, triggers, inputs, outputs, tests, evidence, and lifecycle state.",skills,MOD-AGENT-ORCHESTRATOR,FEAT-007,FUNC-007,545,1564,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-007,remove V21 candidate row; preserve source ledgers,PENDING
REQ-CANON-008,"Register tools, apps, APIs, MCPs, webhooks, connectors, scopes, health checks, costs, fallbacks, and revoke paths.",tools_apis,MOD-INTEGRATIONS-FABRIC,FEAT-008,FUNC-008,3157,13906,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-008,remove V21 candidate row; preserve source ledgers,PENDING
REQ-CANON-009,"Route deterministic, local, free, lowest-cost, and premium models by verified capability, privacy, latency, reliability, and cost.",models,MOD-LLM-ROUTER,FEAT-009,FUNC-009,1993,11578,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-009,remove V21 candidate row; preserve source ledgers,PENDING
REQ-CANON-010,"Operate a bounded hierarchical agent council with explicit permissions, quotas, retries, memory, tests, safe stop, and independent verification.",agents,MOD-AGENT-ORCHESTRATOR,FEAT-010,FUNC-010,1915,4300,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-010,remove V21 candidate row; preserve source ledgers,PENDING
