delta_id,source_type,source_scope,requirement,status,canonical_placement,evidence_or_blocker,next_action
CHAT-001,user_message,current_visible_chat,"Recover accidentally closed chat and continue remaining work",COVERED,continuity_and_recovery,"Closed-chat recovery file and PR #33",Keep continuity chain updated
CHAT-002,user_message,current_visible_chat,"Capture all ChatGPT exports project files goals modules objectives requirements and related sources",PARTIAL,source_reconstruction,"Source denominator exists; archives not mounted",Retrieve and safely extract missing archives
CHAT-003,user_message,current_visible_chat,"Create separate specialist chats with prompts repository placement and rebuild instructions",COVERED,specialist_chat_bootstrap,"Eight primary chats and thirteen candidates registered",Promote remaining candidates to first-class trackers
CHAT-004,user_message,current_visible_chat,"Eventually consolidate mature specialist modules into Jarvis",COVERED,federation_and_module_lifecycle,"Handoff and federation rules recorded",Define promotion checklist and consolidation waves
CHAT-005,user_message,current_visible_chat,"Capture all modules features functions instructions and forgotten requirements",PARTIAL,requirements_and_module_registry,"128-family target catalog exists; historical denominator unresolved",Complete message extraction and canonical dedupe
CHAT-006,user_message,current_visible_chat,"Maintain complete visual progress tracker and prioritised tally",APPLIED,command_centre_and_tracking,"Visual tracker artifact created in this audit run",Render full tracker in substantive responses
CHAT-007,user_message,current_visible_chat,"Run full delta scan of all user and assistant responses",PARTIAL,current_chat_delta_audit,"Visible current chat reviewed; inaccessible chats remain blocked",Process full exports when available
CHAT-008,assistant_response,current_visible_chat,"Five-repository source and federation baseline",VERIFIED,current_environment_registry,"GitHub main and CI evidence previously recorded",Continue runtime verification separately
CHAT-009,assistant_response,current_visible_chat,"Six-PR continuation queue",PARTIAL,release_and_merge_queue,"PRs identified; workflows were queued",Poll CI and merge only with approval
CHAT-010,assistant_response,current_visible_chat,"Sixteen-domain 128-family sovereign architecture",SPECIFIED,module_family_catalog,"Machine-readable catalog committed",Map every canonical requirement to families
CHAT-011,assistant_response,current_visible_chat,"Eight specialist chats and proposed repository map",SPECIFIED,specialist_chat_registry,"Registry and issues #35-#42",Create chats and source-lock each domain
CHAT-012,file_library,accessible_sources,"Full truthful tracker fields and integration handoff pack",APPLIED,tracker_and_handoff_contract,"File Library source instruction",Validate all specialist prompts against contract
CHAT-013,file_library,accessible_sources,"Novice navigation button truth contextual help and interactive assistant",PARTIAL,command_centre_ux,"Historical source claims located",Create dedicated UX specification and test matrix
CHAT-014,file_library,accessible_sources,"Governed skill discovery quarantine benchmark approval and rollback",PARTIAL,agent_skill_factory,"Historical instruction located",Create skill governance implementation backlog
CHAT-015,file_library,accessible_sources,"Agency module and high ROI opportunity source claims",PARTIAL,agency_factory,"Raw code and master spec located",Extract exact functions and validate business assumptions
CHAT-016,file_library,accessible_sources,"Trading stack paper-first risk engine and kill switch",PARTIAL,trading_factory,"Raw code and safe-stack sources located",Reconcile strategies and build proof-first test plan
CHAT-017,file_library,accessible_sources,"Health Spooky2 and experimental wellness evidence separation",PARTIAL,health_domain,"Historical modules located",Extract protocols and apply clinical safety classification
CHAT-018,file_library,accessible_sources,"CFO Xero reconciliation tax and financial-control framework",PARTIAL,cfo_os,"Historical source claims located",Inventory schema and verify integration reality
CHAT-019,continuity_context,accessible_history,"Agent loop auto-advance until verifier or approval gate",MISSING_BEFORE_AUDIT,task_workflow_os,"Recovered from authorised continuity context",Add workflow state-machine requirement
CHAT-020,continuity_context,accessible_history,"Gmail admin communications procurement shopping voice and multimodal modules",MISSING_BEFORE_AUDIT,federated_specialist_domains,"Recovered from authorised continuity context",Add first-class module-family and tracker rows
