skill_name,capability,placement,availability,primary_owner,runtime_state,test_state,next_action
jarvis-sovereign-builder,Jarvis Build integration spine,JARVIS_BUILD_BUILDER,AVAILABLE_SKILL_NOT_RUNTIME_WIRED,jarvis-sovereign-builder,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
jarvis-reconstruction,source/spec/runtime reconciliation,JARVIS_BUILD_BUILDER,ACTIVE_FOR_THIS_RUN,jarvis-reconstruction,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
master-chatgpt-kb,export/archive extraction and lineage,JARVIS_BUILD_BUILDER,AVAILABLE,master-chatgpt-kb,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
source-first-project-continuity,source-first continuity and handoff,SHARED_SERVICE,AVAILABLE,source-first-project-continuity,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
jason-sync,JSON/JSONL/archive ledgers and merge,JARVIS_BUILD_BUILDER,AVAILABLE,jason-sync,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
project-orchestrator-continuity,cross-skill continuity router,CONTROL_OVERLAY,AVAILABLE,project-orchestrator-continuity,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
source-first-agent-framework-builder,framework and ToolPlan construction,JARVIS_BUILD_BUILDER,AVAILABLE,source-first-agent-framework-builder,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
agent-capability-upgrader,agent/security/deployment upgrades,JARVIS_BUILD_BUILDER,AVAILABLE,agent-capability-upgrader,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
agent-skill-integration-builder,framework-native Skill integration,SHARED_SERVICE,AVAILABLE,agent-skill-integration-builder,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
universal-agent-autopilot-orchestrator,bounded end-to-end orchestration,CONTROL_OVERLAY,AVAILABLE,universal-agent-autopilot-orchestrator,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
request-construction-planner,pre-execution request strengthening,CONTROL_OVERLAY,AVAILABLE,request-construction-planner,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
